id,timestamp_long,COx
0,1078938000.0,166.0
1,1078941600.0,103.0
2,1078945200.0,131.0
3,1078948800.0,172.0
4,1078952400.0,131.0
5,1078956000.0,89.0
6,1078959600.0,62.0
7,1078963200.0,62.0
8,1078966800.0,45.0
9,1078974000.0,21.0
10,1078977600.0,16.0
11,1078981200.0,34.0
12,1078984800.0,98.0
13,1078988400.0,174.0
14,1078992000.0,129.0
15,1078995600.0,112.0
16,1078999200.0,95.0
17,1079002800.0,104.0
18,1079006400.0,146.0
19,1079010000.0,207.0
20,1079013600.0,184.0
21,1079017200.0,193.0
22,1079020800.0,243.0
23,1079024400.0,281.0
24,1079028000.0,383.0
25,1079031600.0,351.0
26,1079035200.0,240.0
27,1079038800.0,94.0
28,1079042400.0,47.0
29,1079046000.0,122.0
30,1079049600.0,133.0
31,1079053200.0,82.0
32,1079060400.0,21.0
33,1079064000.0,30.0
34,1079067600.0,56.0
35,1079071200.0,109.0
36,1079074800.0,307.0
37,1079082000.0,187.0
38,1079085600.0,216.0
39,1079089200.0,143.0
40,1079092800.0,160.0
41,1079096400.0,163.0
42,1079100000.0,190.0
43,1079103600.0,178.0
44,1079107200.0,150.0
45,1079110800.0,206.0
46,1079114400.0,202.0
47,1079118000.0,340.0
48,1079121600.0,274.0
49,1079125200.0,253.0
50,1079128800.0,300.0
51,1079132400.0,193.0
52,1079136000.0,139.0
53,1079139600.0,83.0
54,1079146800.0,109.0
55,1079150400.0,62.0
56,1079154000.0,53.0
57,1079157600.0,139.0
58,1079161200.0,256.0
59,1079164800.0,295.0
60,1079168400.0,250.0
61,1079172000.0,296.0
62,1079175600.0,239.0
63,1079179200.0,153.0
64,1079182800.0,118.0
65,1079186400.0,119.0
66,1079190000.0,138.0
67,1079193600.0,148.0
68,1079197200.0,227.0
69,1079200800.0,277.0
70,1079204400.0,279.0
71,1079208000.0,283.0
72,1079211600.0,214.0
73,1079215200.0,172.0
74,1079218800.0,190.0
75,1079222400.0,174.0
76,1079226000.0,128.0
77,1079233200.0,70.0
78,1079236800.0,53.0
79,1079240400.0,44.0
80,1079244000.0,74.0
81,1079247600.0,101.0
82,1079251200.0,118.0
83,1079254800.0,144.0
84,1079258400.0,176.0
85,1079262000.0,161.0
86,1079265600.0,113.0
87,1079269200.0,103.0
88,1079272800.0,112.0
89,1079276400.0,170.0
90,1079280000.0,180.0
91,1079283600.0,160.0
92,1079287200.0,261.0
93,1079290800.0,325.0
94,1079294400.0,217.0
95,1079298000.0,146.0
96,1079301600.0,152.0
97,1079305200.0,104.0
98,1079308800.0,106.0
99,1079312400.0,108.0
100,1079319600.0,66.0
101,1079323200.0,88.0
102,1079326800.0,138.0
103,1079330400.0,228.0
104,1079334000.0,360.0
105,1079337600.0,478.0
106,1079341200.0,394.0
107,1079344800.0,319.0
108,1079348400.0,201.0
109,1079352000.0,171.0
110,1079355600.0,159.0
111,1079359200.0,153.0
112,1079362800.0,143.0
113,1079366400.0,156.0
114,1079370000.0,314.0
115,1079373600.0,404.0
116,1079377200.0,320.0
117,1079380800.0,256.0
118,1079384400.0,193.0
119,1079388000.0,89.0
120,1079391600.0,127.0
121,1079395200.0,79.0
122,1079398800.0,43.0
123,1079406000.0,59.0
124,1079409600.0,38.0
125,1079413200.0,82.0
126,1079416800.0,99.0
127,1079420400.0,263.0
128,1079424000.0,229.0
129,1079427600.0,396.0
130,1079431200.0,314.0
131,1079434800.0,217.0
132,1079438400.0,252.0
133,1079442000.0,263.0
134,1079445600.0,180.0
135,1079449200.0,184.0
136,1079452800.0,190.0
137,1079456400.0,184.0
138,1079460000.0,181.0
139,1079463600.0,166.0
140,1079467200.0,317.0
141,1079470800.0,184.0
142,1079474400.0,130.0
143,1079478000.0,132.0
144,1079481600.0,95.0
145,1079485200.0,70.0
146,1079492400.0,54.0
147,1079496000.0,28.0
148,1079499600.0,46.0
149,1079503200.0,160.0
150,1079506800.0,320.0
151,1079510400.0,377.0
152,1079514000.0,280.0
153,1079517600.0,221.0
154,1079521200.0,210.0
155,1079524800.0,204.0
156,1079528400.0,161.0
157,1079532000.0,135.0
158,1079535600.0,186.0
159,1079539200.0,147.0
160,1079542800.0,299.0
161,1079546400.0,411.0
162,1079550000.0,347.0
163,1079553600.0,336.0
164,1079557200.0,202.0
165,1079560800.0,178.0
166,1079564400.0,154.0
167,1079568000.0,92.0
168,1079571600.0,61.0
169,1079578800.0,60.0
170,1079582400.0,37.0
171,1079586000.0,68.0
172,1079589600.0,139.0
173,1079593200.0,339.0
174,1079596800.0,421.0
175,1079600400.0,349.0
176,1079604000.0,224.0
177,1079607600.0,171.0
178,1079611200.0,149.0
179,1079614800.0,137.0
180,1079618400.0,149.0
181,1079622000.0,172.0
182,1079625600.0,166.0
183,1079629200.0,214.0
184,1079632800.0,280.0
185,1079636400.0,276.0
186,1079640000.0,178.0
187,1079643600.0,129.0
188,1079647200.0,95.0
189,1079650800.0,126.0
190,1079654400.0,103.0
191,1079658000.0,48.0
192,1079665200.0,20.0
193,1079668800.0,18.0
194,1079672400.0,56.0
195,1079676000.0,115.0
196,1079679600.0,320.0
197,1079683200.0,357.0
198,1079686800.0,253.0
199,1079690400.0,218.0
200,1079694000.0,192.0
201,1079697600.0,176.0
202,1079701200.0,198.0
203,1079704800.0,212.0
204,1079708400.0,249.0
205,1079712000.0,270.0
206,1079715600.0,231.0
207,1079719200.0,251.0
208,1079722800.0,210.0
209,1079726400.0,249.0
210,1079730000.0,143.0
211,1079733600.0,127.0
212,1079737200.0,104.0
213,1079740800.0,86.0
214,1079744400.0,74.0
215,1079751600.0,44.0
216,1079755200.0,42.0
217,1079758800.0,63.0
218,1079762400.0,115.0
219,1079766000.0,170.0
220,1079769600.0,147.0
221,1079773200.0,166.0
222,1079776800.0,195.0
223,1079780400.0,182.0
224,1079784000.0,168.0
225,1079787600.0,125.0
226,1079791200.0,95.0
227,1079794800.0,79.0
228,1079798400.0,119.0
229,1079802000.0,142.0
230,1079805600.0,215.0
231,1079809200.0,229.0
232,1079812800.0,206.0
233,1079816400.0,147.0
234,1079820000.0,122.0
235,1079823600.0,175.0
236,1079827200.0,133.0
237,1079830800.0,89.0
238,1079838000.0,85.0
239,1079841600.0,55.0
240,1079845200.0,24.0
241,1079848800.0,72.0
242,1079852400.0,122.0
243,1079856000.0,111.0
244,1079859600.0,123.0
245,1079863200.0,106.0
246,1079866800.0,103.0
247,1079870400.0,102.0
248,1079874000.0,48.0
249,1079877600.0,63.0
250,1079881200.0,98.0
251,1079884800.0,132.0
252,1079888400.0,173.0
253,1079892000.0,185.0
254,1079895600.0,266.0
255,1079899200.0,188.0
256,1079902800.0,122.0
257,1079906400.0,112.0
258,1079910000.0,93.0
259,1079913600.0,74.0
260,1079917200.0,23.0
261,1079924400.0,17.0
262,1079928000.0,15.0
263,1079931600.0,41.0
264,1079935200.0,86.0
265,1079938800.0,226.0
266,1079942400.0,214.0
267,1079946000.0,115.0
268,1079949600.0,124.0
269,1079953200.0,122.0
270,1079956800.0,107.0
271,1079960400.0,133.0
272,1079964000.0,130.0
273,1079967600.0,150.0
274,1079971200.0,138.0
275,1079974800.0,213.0
276,1079978400.0,232.0
277,1079982000.0,238.0
278,1079985600.0,180.0
279,1079989200.0,128.0
280,1079992800.0,65.0
